time,Андрей_Болконский,Пьер_Безухов,Наташа,Николай_Ростов
339,0,0,0,-0.22878938913345337
340,0,0,0,0
341,0,0,0,-0.4595489650964737
342,0,0,0.5679762065410614,0.23270630836486816
343,0.275139719247818,-0.051942378282547,-0.0293060801923275,0
344,0,0.037343863930021017,-0.29646919667720795,0.29422497749328613
345,0,-0.039221607976489596,0.05757015943527222,0.3415925204753876
346,0,-0.032967944939931236,0.5078218579292297,0.5078218579292297
347,-0.4385601580142975,-0.045150773865836005,-0.07638795177141826,-0.09786662459373474
348,0,-0.32615647464990616,-0.3083661198616028,-0.18035631775856018
349,-0.4688006341457367,-0.08547071119149525,0.20449289679527283,-0.16593369841575623
350,0,0,0,0
351,0,0,0,0
352,0,0,0,0
353,0,0,0,0
354,0,0,0,0
355,0,0,0,0
356,0,0,0,0
357,0,0,0,0
358,0,0,0,0
359,0,0,0,0
360,0,0,0,0
361,0,0,0,0
